"","ticknumb","gender","day1","day2","day3"
"686",4333,"Female",2.88,NA,NA
"687",4334,"Female",2.36,NA,NA
"688",4335,"Female",2.36,NA,NA
"689",4336,"Female",2.2,NA,NA
"690",4349,"Female",2.17,0.47,0.38
"691",4351,"Male",0.52,NA,NA
"692",4352,"Male",0.32,NA,NA
"693",4353,"Female",1.52,0.55,NA
"694",4354,"Male",2,0.94,0.08
"695",4355,"Male",1.32,1.02,1.2
"696",4356,"Female",2.05,NA,NA
"697",4357,"Female",1.73,NA,NA
"698",4358,"Male",1.94,NA,NA
"699",4359,"Female",1.81,NA,NA
"700",4360,"Male",0.9,0.64,NA
"701",4361,"Male",1.58,0.67,NA
"702",4363,"Female",2.29,1.87,0.91
"703",4366,"Female",2.57,NA,NA
"704",4370,"Female",1.58,NA,NA
"705",4382,"Female",2.33,0.82,NA
"706",4383,"Female",3.15,NA,NA
"707",4384,"Female",2.29,NA,NA
"708",4385,"Female",0.82,NA,NA
"709",4386,"Female",1.93,NA,NA
"710",4387,"Female",1.82,NA,NA
"711",4388,"Female",1.96,NA,NA
"712",4389,"Female",1.32,0.64,0.47
"713",4391,"Female",1.02,NA,NA
"714",4392,"Female",1.14,NA,NA
"715",4393,"Female",2.32,NA,NA
"716",4394,"Male",2.16,NA,NA
"717",4396,"Female",2.42,1.7,NA
"718",4397,"Female",1.14,NA,NA
"719",4398,"Male",1.55,0.79,1.76
"720",4404,"Female",1.17,NA,NA
"721",4405,"Female",1,0.58,0.32
"722",4410,"Female",1.05,0.11,NA
"723",4419,"Female",1.38,NA,NA
"724",4428,"Female",1.93,2.42,NA
"725",4430,"Female",2.73,NA,NA
"726",4435,"Female",2.02,NA,NA
"727",4436,"Female",2.81,NA,NA
"728",4437,"Female",2.47,NA,NA
"729",4439,"Male",1.35,NA,NA
"730",4440,"Male",2.08,NA,NA
"731",4441,"Female",2.5,NA,NA
"732",4442,"Female",2.45,NA,NA
"733",4443,"Female",2.17,NA,NA
"734",4444,"Male",1.7,0,NA
"735",4445,"Male",0.7,0.23,0.45
"736",4446,"Male",1.51,NA,NA
"737",4447,"Female",1.23,NA,NA
"738",4448,"Female",2.14,0.85,NA
"739",4452,"Male",1.14,1.14,NA
"740",4453,"Female",0.96,NA,NA
"741",4454,"Male",1.52,1.14,1.26
"742",4455,"Male",0.52,NA,NA
"743",4456,"Male",1.56,NA,NA
"744",4459,"Female",3.29,0.26,NA
"745",4464,"Male",0.45,NA,NA
"746",4467,"Female",2.63,NA,NA
"747",4468,"Female",1.7,NA,NA
"748",4470,"Male",3.11,NA,NA
"749",4479,"Female",1.82,NA,NA
"750",4481,"Female",1.58,0.14,NA
"751",4482,"Female",2.73,NA,NA
"752",4485,"Female",1.5,1.14,NA
"753",4486,"Male",1.78,1.02,NA
"754",4488,"Female",2.02,NA,NA
"755",4507,"Male",0.67,0.94,0.91
"756",4509,"Female",1.41,0.55,NA
"757",4510,"Male",0.9,NA,NA
"758",4511,"Female",1.23,1.11,0.76
"759",4512,"Female",2.7,NA,NA
"760",4514,"Female",1.97,NA,NA
"761",4515,"Male",0.84,NA,NA
"762",4516,"Male",1.79,NA,NA
"763",4517,"Female",2.84,NA,NA
"764",4518,"Male",2.02,NA,NA
"765",4519,"Male",1.64,0.7,NA
"766",4525,"Female",1.08,NA,NA
"767",4533,"Female",2.97,NA,NA
"768",4552,"Female",0.94,NA,NA
"769",4553,"Female",2.97,1.94,NA
"770",4554,"Female",0.97,NA,NA
"771",4555,"Male",1.47,NA,NA
"772",4559,"Female",2.61,NA,NA
"773",4563,"Female",1.73,0.2,0.91
"774",4564,"Female",3.38,3.44,3.41
"775",4569,"Male",3.17,1,1.73
"776",4570,"Female",2.2,0.91,NA
"777",4571,"Female",2.14,NA,NA
"778",4582,"Male",1.29,1.58,0.81
"779",4590,"Female",3.21,2.85,NA
"780",4597,"Male",2.67,NA,NA
"781",4598,"Male",1.85,0.79,NA
"782",4601,"Female",1.35,NA,NA
"783",4607,"Female",2.14,0.76,NA
"784",4611,"Male",1.24,0.56,NA
"785",4654,"Female",2.02,1.78,2.55
"786",4655,"Female",2.32,NA,NA
"787",4663,"Male",1.08,0.23,NA
"788",4666,"Male",1.14,1.35,1.02
"789",4690,"Female",2.14,1.82,NA
"790",4692,"Female",2.88,NA,NA
"791",4693,"Male",1.35,0.17,0.44
"792",4694,"Male",1,1.7,NA
"793",4695,"Male",2.02,NA,NA
"794",4696,"Female",0.64,1.32,NA
"795",4697,"Male",0.29,0.14,NA
"796",4698,"Female",1.73,0.94,NA
"797",4699,"Female",1.82,1.52,NA
"798",4704,"Female",2.11,NA,NA
"799",4710,"Female",1.23,NA,NA
"800",4711,"Male",0.64,NA,NA
"801",4724,"Male",2.23,1.41,2.11
"802",4725,"Female",2.44,0.32,NA
"803",4740,"Male",1.17,0.58,NA
"804",4744,"Female",0.61,0.44,NA
"805",4749,"Female",0.52,NA,NA
"806",4756,"Female",2.91,0.94,NA
"807",4758,"Female",2.61,1.44,NA
"808",4759,"Female",1.47,NA,NA
"809",4760,"Male",1.28,NA,NA
"810",4765,"Female",1.26,NA,NA
